Flags,IntendedVsync,Vsync,OldestInputEvent,NewestInputEvent,HandleInputStart,AnimationStart,PerformTraversalsStart,DrawStart,SyncQueued,SyncStart,IssueDrawCommandsStart,SwapBuffers,FrameCompleted,DequeueBufferDuration,QueueBufferDuration
0,593797174383182,593797174383182,9223372036854775807,0,593797174811203,593797174837472,593797175240742,593797177839357,593797178091318,593797178322588,593797178616049,593797180754972,593797183158780,402000,1066000,
0,593797191126415,593797191126415,9223372036854775807,0,593797191708011,593797191733203,593797191928280,593797192073818,593797192149049,593797193599472,593797193839703,593797195654626,593797198332549,287000,1183000,
0,593797207868774,593797207868774,9223372036854775807,0,593797208382280,593797208407549,593797208605434,593797208749434,593797208819549,593797209321741,593797209654741,593797212387280,593797214043049,449000,468000,
0,593797224610698,593797224610698,9223372036854775807,0,593797225986780,593797226024972,593797227151434,593797227419665,593797227547818,593797227868280,593797228100588,593797229944934,593797232637472,327000,1083000,
0,593797241352777,593797241352777,9223372036854775807,0,593797243927626,593797243969280,593797244460972,593797244703857,593797244751165,593797244970472,593797245165203,593797246881895,593797250188241,302000,2134000,
0,593797258096383,593797258096383,9223372036854775807,0,593797258536088,593797258566241,593797259205395,593797259448665,593797259496472,593797259711588,593797259932703,593797261932895,593797263542472,368000,446000,
0,593797274839716,593797274839716,9223372036854775807,0,593797286247588,593797286287780,593797287111818,593797291469049,593797291664357,593797292463511,593797292779049,593797295418934,593797297428511,1034000,447000,
1,593797509246036,593797577042644,9223372036854775807,0,593797592957049,593797592989972,593797593270626,593797621170087,593797627868203,593797628140664,593797628658241,593797632811203,593797634795280,1256000,480000,
0,593797609706919,593797626656071,9223372036854775807,0,593797636236433,593797636270010,593797636471318,593797636627280,593797637692280,593797637932280,593797638215549,593797642771510,593797646260933,657000,512000,
0,593797643193546,593797643193546,9223372036854775807,0,593797643653395,593797643663357,593797643861857,593797643994895,593797644020433,593797646601472,593797646885741,593797649229549,593797651266587,346000,644000,
0,593797659936467,593797659936467,9223372036854775807,0,593797660979357,593797661016626,593797662268318,593797662474549,593797662511895,593797662867818,593797663278818,593797665994049,593797668341818,558000,1190000,
0,593797676679638,593797676679638,9223372036854775807,0,593797677415703,593797677457587,593797677750510,593797677979472,593797678018395,593797678303395,593797678676972,593797681264203,593797683192510,382000,565000,
0,593797693422660,593797693422660,9223372036854775807,0,593797694081241,593797694112357,593797694344010,593797694504203,593797694536280,593797695090818,593797695478895,593797698298857,593797700245587,577000,510000,
0,593797710165554,593797710165554,9223372036854775807,0,593797712317010,593797712371741,593797713101972,593797713455472,593797713515664,593797713911203,593797714214703,593797717162626,593797718877818,554000,397000,
0,593797726908545,593797726908545,9223372036854775807,0,593797727534126,593797727580010,593797728783895,593797729084703,593797729144087,593797729748587,593797730179087,593797732710664,593797735172203,457000,582000,
0,593797743651377,593797743651377,9223372036854775807,0,593797744975164,593797745011741,593797745432087,593797745735626,593797745784703,593797746186972,593797746461241,593797749121664,593797751337049,577000,954000,
0,593797760394314,593797760394314,9223372036854775807,0,593797760921741,593797761262010,593797761823395,593797762092741,593797762143895,593797762493433,593797762770703,593797765135626,593797767221895,392000,449000,
0,593797777137519,593797777137519,9223372036854775807,0,593797777664203,593797777707818,593797778156780,593797778739780,593797778796549,593797779121895,593797779406626,593797782358856,593797784222241,450000,444000,
0,593797793880046,593797793880046,9223372036854775807,0,593797794669280,593797794737472,593797795414433,593797795747087,593797795799703,593797796080856,593797796378203,593797799037780,593797801246241,377000,647000,
0,593797810623029,593797810623029,9223372036854775807,0,593797811292395,593797811331549,593797811750587,593797812026087,593797812088049,593797813303664,593797813590164,593797816796703,593797819124510,638000,1045000,
0,593797827365901,593797827365901,9223372036854775807,0,593797827924472,593797827960433,593797828416510,593797828799510,593797828853664,593797829908241,593797830347433,593797833924472,593797835573626,1291000,429000,
0,593797844109222,593797844109222,9223372036854775807,0,593797844758972,593797844796395,593797845195087,593797845470510,593797845526703,593797845904010,593797846205549,593797848615779,593797850566087,368000,740000,
0,593797860852558,593797860852558,9223372036854775807,0,593797861384395,593797861421318,593797861793779,593797862060203,593797862117164,593797862675587,593797862970433,593797865229549,593797868386010,359000,470000,
0,593797877595803,593797877595803,9223372036854775807,0,593797878118356,593797878156241,593797878534818,593797878807510,593797878860549,593797879229433,593797879512972,593797882258126,593797883636626,402000,483000,
0,593797894339091,593797894339091,9223372036854775807,0,593797895535241,593797895578126,593797896082126,593797896735741,593797896792203,593797897188664,593797897476395,593797900074664,593797902061433,345000,608000,
0,593797911082513,593797911082513,9223372036854775807,0,593797911626510,593797911664203,593797912052933,593797912327779,593797912385241,593797912662318,593797912962126,593797915782241,593797917761433,606000,535000,
0,593797927826127,593797927826127,9223372036854775807,0,593797928298587,593797928338703,593797928705587,593797928974279,593797929028164,593797929696472,593797930350895,593797933073856,593797934808741,543000,492000,
0,593797944569278,593797944569278,9223372036854775807,0,593797947534395,593797947570203,593797947949318,593797948197626,593797948245164,593797948483241,593797948753895,593797951226472,593797953594356,321000,700000,
0,593797961312118,593797961312118,9223372036854775807,0,593797962727933,593797962770279,593797963186241,593797963481664,593797963536241,593797964128049,593797964570087,593797969046626,593797971433664,2352000,759000,
0,593797978055422,593797978055422,9223372036854775807,0,593797978613856,593797978652433,593797982413933,593797986092164,593797986516779,593797986836933,593797987214279,593797989574356,593797992104164,495000,761000,
0,593799367545078,593799367545078,9223372036854775807,0,593799370903509,593799370970586,593799370991355,593799371385817,593799371724317,593799372093009,593799372519048,593799378446509,593799385326740,609000,1006000,
0,593799551702614,593799551702614,9223372036854775807,0,593799553565663,593799553611548,593799553620586,593799553869855,593799554040432,593799554376009,593799554632971,593799557140278,593799559840086,500000,576000,
0,593799652116183,593799652116183,9223372036854775807,0,593799653005394,593799653054894,593799653064932,593799653386471,593799653646009,593799653974471,593799654290432,593799657139894,593799660198932,663000,724000,
0,593799769264121,593799769264121,9223372036854775807,0,593799770190894,593799770232278,593799770239586,593799770598470,593799770971855,593799771271663,593799771590701,593799774455778,593799777476893,566000,596000,
